campaign_row_id,campaign_name,result_type,results,reach,impressions,cost_per_result_ngn,amount_spent_ngn,data_quality_flag
30,"Instagram post: Taking on Olamide's ""Gaza"" with a...",Link clicks,74.0,11966.0,16153.0,75.48594595,5585.96,
31,Instagram post: What's the craziest thing you've...,Link clicks,1870.0,49046.0,51216.0,2.9459893,5509.0,
32,Instagram post: Embrace the Afro-fusion vibes of...,Link clicks,238.0,187266.0,202048.0,22.70588235,5404.0,
33,"Post: ""I'm the protagonist in this comedy called 'life'.""",Post engagements,321.0,807.0,3192.0,16.43981308,5277.18,
34,Instagram post: 🦅 LAGOS FAMILY 🦅 @tiwa_oflagos...,Link clicks,357.0,37854.0,40175.0,14.68893557,5243.95,
35,"Instagram post: 🌞 Happy Sunday, everyone! 🙌 Hope...",Link clicks,343.0,156810.0,157029.0,14.57725948,5000.0,
36,Instagram post: International collab incoming 😌...,Link clicks,86.0,3696.0,4605.0,57.69767442,4962.0,
37,"Instagram post: Another day, another open verse...",Link clicks,53.0,1796.0,2120.0,93.0,4929.0,
38,"Instagram post: Another day, another open verse...",Link clicks,42.0,2237.0,2695.0,117.35428571,4928.88,
39,Instagram post: New single announcement: Save the...,Link clicks,277.0,191427.0,207831.0,17.05433213,4724.05,
40,Instagram Post,Link clicks,162.0,3444.0,3784.0,28.88888889,4680.0,
41,Instagram post: I'm thrilled to announce that my...,Link clicks,219.0,145397.0,155460.0,21.34456621,4674.46,
42,Instagram post: 🚀🎶 It's here! The official...,Link clicks,234.0,121901.0,123415.0,19.82051282,4638.0,
43,Instagram post: Attitude Gyal X Star Gyal...,Link clicks,284.0,29507.0,31036.0,16.26760563,4620.0,
44,Instagram post: 🎥 Exciting news! The official...,Link clicks,237.0,119076.0,124416.0,19.32873418,4580.91,
45,Instagram post: Last night was a blast at DJ...,Link clicks,418.0,33767.0,36116.0,10.95873206,4580.75,
46,Instagram Post,Link clicks,109.0,15182.0,15243.0,41.50458716,4524.0,
47,Instagram post: 🚀🎶 It's here! The official...,Link clicks,216.0,122681.0,128879.0,20.86231481,4506.26,
48,"Post: ""Feel the emotions as I lay myself bare for you...""",Link clicks,2587.0,9221.0,10583.0,1.63374565,4226.5,
49,Instagram Post,Link clicks,236.0,82217.0,84838.0,17.46449153,4121.62,
50,Instagram Post,Link clicks,273.0,72781.0,77826.0,15.05688645,4110.53,
51,Instagram post: Attitude Gyal X Star Gyal...,Link clicks,204.0,13069.0,14860.0,19.52058824,3982.2,
52,Instagram post: 🎥 Exciting news! The official...,Link clicks,127.0,70372.0,72465.0,31.16795276,3958.33,
53,"Post: ""🌞 Happy Sunday, everyone! 🙌 Hope you're having a...""",ThruPlay,4676.0,75540.0,78640.0,0.8304213,3883.05,
54,Instagram post: I am grateful for this journey...,Link clicks,224.0,66690.0,71179.0,17.04696429,3818.52,
55,Instagram post: @afronitaaa X @dreamcatchersda 😍...,Link clicks,160.0,33701.0,34943.0,22.1896875,3550.35,
56,Instagram post: 🚀🎶 It's here! The official...,Link clicks,142.0,89851.0,90882.0,24.9934507,3549.07,
57,Instagram post: A big shoutout to @officialhiptv...,Link clicks,245.0,46498.0,48740.0,14.28526531,3499.89,
58,Instagram post: Santeri X Vkel live @ Felabration...,Link clicks,96.0,63710.0,63710.0,35.85802083,3442.37,
59,Instagram post: 🔊 Turn up the excitement! Join me...,Link clicks,41.0,4569.0,5303.0,78.43658537,3215.9,
60,Instagram post: Sound on 🎧🎶 Our take on Johnny...,Link clicks,21.0,3369.0,3663.0,148.0,3108.0,
61,Instagram post: Sound on 🎧🎶 Our take on Johnny...,Link clicks,32.0,3125.0,3426.0,97.125,3108.0,
62,Instagram post: I'm going to be live on Vybz 94.5...,Link clicks,34.0,4165.0,4394.0,91.32352941,3105.0,
63,Instagram post: In case you don't know what a...,Link clicks,279.0,76479.0,78435.0,11.09677419,3096.0,
64,Instagram post: Who is Santeri? Here's a clip...,Link clicks,139.0,41563.0,41886.0,22.24460432,3092.0,
65,Instagram post: Premium entertainment guaranteed....,Link clicks,44.0,2411.0,2684.0,70.17545455,3087.72,
66,Instagram post: 🙏🎤 A Heartfelt Thank You from...,Link clicks,176.0,69860.0,72856.0,17.53409091,3086.0,
67,Instagram Post,Link clicks,142.0,26754.0,27334.0,21.70422535,3082.0,
68,Instagram post: 🙌 Heartfelt Gratitude 🙌 Please...,Link clicks,83.0,51059.0,53151.0,37.13253012,3082.0,
69,"Instagram post: Ibadan, here we come ✈️🛩🛬  #bunda...",Link clicks,34.0,3678.0,4390.0,90.29411765,3070.0,
70,Instagram post: Bunda Baddie 🥰🤩🔥@ceebee__...,Link clicks,562.0,10615.0,11883.0,5.44839858,3062.0,
71,"Post: ""🎥 Exciting news! The official video for ""Bunda""...""",ThruPlay,7963.0,91594.0,94166.0,0.37674243,3000.0,
72,"Post: ""What's the craziest thing you've done in the name...""",ThruPlay,7422.0,17990.0,19290.0,0.35030989,2600.0,
73,"Post: ""Good morning to you. It's your boy Santeri. I...""",ThruPlay,16670.0,88531.0,91655.0,0.15596881,2600.0,
74,"Post: ""In case you don't know what a Bunda is. Watch...""",ThruPlay,3904.0,12772.0,13864.0,0.66598361,2600.0,
75,Instagram post: Can't get enough of these open...,Link clicks,179.0,25803.0,27148.0,14.17877095,2538.0,
76,Instagram post: @ruthvonekensteen ❤️🥹😍 hey...,Link clicks,242.0,6273.0,6864.0,10.37590909,2510.97,
77,Instagram post: Lit night 🔥...,Link clicks,201.0,43068.0,43961.0,12.26537313,2465.34,
78,Instagram post: Kids love Bunda by Santeri X Vkel...,Link clicks,187.0,55492.0,57793.0,13.0255615,2435.78,
79,Instagram post: @dwpacademy on the Bunda Dance...,Link clicks,114.0,37026.0,37881.0,21.34114035,2432.89,
80,Instagram post: 🌟✨ Surreal Moments at Felabration...,Link clicks,299.0,34482.0,35964.0,7.84615385,2346.0,
81,Instagram post: We had to do the...,Link clicks,194.0,72891.0,74586.0,11.96907216,2322.0,
82,"Post: ""I am grateful for this journey and the progress...""",Messaging conversations started,8.0,1374.0,1579.0,288.55125,2308.41,
83,"Post: ""'The more time you spend contemplating what you...""",Post engagements,2155.0,12685.0,12717.0,0.74242227,1599.92,
84,Instagram post: @afronitaaa ❤️😍 Bunda is still...,Link clicks,160.0,6556.0,7113.0,9.9875,1598.0,
85,Instagram post: I am grateful to God for another...,Link clicks,91.0,56177.0,56177.0,17.42087912,1585.3,
86,Instagram post: Grateful 🙏 🦅 CC: @funkekut...,Link clicks,158.0,25428.0,25428.0,9.89873418,1564.0,
87,Instagram post: @logistic.sheryl ❤️😍  It's a...,Link clicks,136.0,26936.0,27314.0,11.47058824,1560.0,
88,Instagram post: Indian Michael Jackson 😅🕺🔥...,Link clicks,292.0,11839.0,12333.0,5.34239726,1559.98,
89,Instagram post: @championrolie @afronitaa ❤️😍...,Link clicks,115.0,17642.0,18550.0,13.564,1559.86,
90,Instagram post: Join us as we bring the energy to...,Link clicks,112.0,67245.0,67581.0,13.85714286,1552.0,
91,Instagram post: 🎤✨ Friday Night Vibes! Catch me...,Link clicks,23.0,2071.0,2247.0,67.30434783,1548.0,
92,Instagram post: 🎤 Catch the electrifying vibes...,Link clicks,65.0,30114.0,31493.0,23.78461538,1546.0,
93,Instagram post: Huge thanks to @silverbirdtv for...,Link clicks,69.0,42292.0,42292.0,22.37681159,1544.0,
94,Instagram post: We're absolutely thrilled to...,Link clicks,73.0,30922.0,30922.0,21.15068493,1544.0,
95,Instagram post: 🕺💃 How was everyone's weekend? 🤩...,Link clicks,91.0,4112.0,4184.0,16.92989011,1540.62,
96,Instagram post: Tonight's gonna be 🔥  Come through,Link clicks,16.0,1256.0,1373.0,95.98125,1535.7,
97,Instagram post: We had an amazing time with...,Link clicks,73.0,30825.0,32375.0,20.91780822,1527.0,
98,Instagram post: Catch me live on air tonight on...,Link clicks,16.0,1832.0,1915.0,93.5625,1497.0,
99,Instagram post: 🎤 LIVE PERFORMANCE ALERT! 🎶 I'm...,Link clicks,55.0,32329.0,33751.0,19.80072727,1089.04,
100,WhatsApp Channel,Link clicks,320.0,24692.0,24692.0,3.3070625,1058.26,
101,Instagram post: Slide 7 can surely move 💃💃💃....,Link clicks,61.0,828.0,877.0,16.91606557,1031.88,
102,Instagram post: I am grateful to God for another...,Link clicks,40.0,10510.0,10936.0,25.246,1009.84,
103,"Post: ""New single announcement: Save the Date! """,Leads (form),1.0,1253.0,1345.0,1009.17,1009.17,
104,Instagram post: The bunda dance challenge is...,Link clicks,27.0,730.0,759.0,36.6537037,989.65,
105,Instagram post: 'The more time you spend...,Link clicks,33.0,11196.0,11331.0,27.92363636,921.48,
106,"Instagram post: Wow, I’m speechless! 🙌  Bunda has...",Link clicks,153.0,11444.0,11669.0,5.21078431,797.25,
107,Instagram post: 🚨Please Read the Caption🚨...,Link clicks,2.0,914.0,927.0,397.105,794.21,
108,Instagram post: @aja_is_saxy 🥰😍🤩 Bunda is still...,Link clicks,73.0,6830.0,6861.0,10.33328767,754.33,
109,Instagram post: July was great 😁⌛. Here's to an...,Link clicks,46.0,26584.0,26767.0,16.26869565,748.36,
110,"Post: ""'The more time you spend contemplating what you...""",Post engagements,1342.0,12620.0,12620.0,0.54541729,731.95,
111,Instagram post: More details to come soon 😔...,Link clicks,42.0,32517.0,32623.0,16.90142857,709.86,
112,Instagram post: Dropping truth bombs in every...,Link clicks,29.0,6640.0,6666.0,23.05758621,668.67,
113,Instagram Post,Link clicks,53.0,961.0,971.0,11.69528302,619.85,
114,Instagram post: 💫💥We had a really great time on...,Link clicks,11.0,9649.0,9649.0,44.10090909,485.11,
115,Instagram post: 🚀🎶 It's here! The official...,Link clicks,19.0,9761.0,9761.0,25.07421053,476.41,
116,"Post: ""Cancelled ❌️""",3-second video plays,3233.0,12144.0,12144.0,0.13988246,452.24,
117,Instagram post: @afronitaaa X @dreamcatchersda 😍...,Link clicks,13.0,809.0,827.0,22.37461538,290.87,
118,Instagram post: Ad. Instagram didn't do this...,Link clicks,14.0,1456.0,1459.0,15.12857143,211.8,
119,"Instagram post: Taking on Olamide's ""Gaza"" with a...",2,2.0,339.0,339.0,2.0,78.75,ambiguous_result_type
120,Instagram post: 🙌 Heartfelt Gratitude 🙌 Please...,Link clicks,3.0,1412.0,1422.0,25.18333333,75.55,
121,Instagram post: Bundapiano Baddie ❤️😍🥵...,Link clicks,27.0,294.0,294.0,1.78111111,48.09,
122,Instagram post: Grateful 🙏 🦅  #Santeri #Bunda...,Link clicks,1.0,446.0,452.0,32.45,32.45,
123,Instagram post: I am grateful for this journey...,2,2.0,56.0,57.0,2.0,27.81,ambiguous_result_type
124,Instagram post: Ad. Instagram didn't do this...,Link clicks,2.0,103.0,103.0,12.435,24.87,
125,"Instagram post: Taking on Olamide's ""Gaza"" with a...",2,2.0,60.0,61.0,2.0,19.75,ambiguous_result_type
126,Instagram post: 🎤 Catch the electrifying vibes...,2,2.0,5.0,5.0,2.0,0.08,ambiguous_result_type
